season,team,week,games,wins,losses,win_percentage
2024,ARI,1,1,0,1,0.0
2024,ARI,2,2,1,1,0.5
2024,ARI,3,3,1,2,0.3333333333333333
2024,ARI,4,4,1,3,0.25
2024,ARI,5,5,2,3,0.4
2024,ARI,6,6,2,4,0.3333333333333333
2024,ARI,7,7,3,4,0.42857142857142855
2024,ARI,8,8,4,4,0.5
2024,ARI,9,9,5,4,0.5555555555555556
2024,ARI,10,10,6,4,0.6
2024,ARI,12,11,6,5,0.5454545454545454
2024,ARI,13,12,6,6,0.5
2024,ARI,14,13,6,7,0.46153846153846156
2024,ARI,15,14,7,7,0.5
2024,ARI,16,15,7,8,0.4666666666666667
2024,ARI,17,16,7,9,0.4375
2024,ARI,18,17,8,9,0.47058823529411764
2024,ATL,1,1,0,1,0.0
2024,ATL,2,2,1,1,0.5
2024,ATL,3,3,1,2,0.3333333333333333
2024,ATL,4,4,2,2,0.5
2024,ATL,5,5,3,2,0.6
2024,ATL,6,6,4,2,0.6666666666666666
2024,ATL,7,7,4,3,0.5714285714285714
2024,ATL,8,8,5,3,0.625
2024,ATL,9,9,6,3,0.6666666666666666
2024,ATL,10,10,6,4,0.6
2024,ATL,11,11,6,5,0.5454545454545454
2024,ATL,13,12,6,6,0.5
2024,ATL,14,13,6,7,0.46153846153846156
2024,ATL,15,14,7,7,0.5
2024,ATL,16,15,8,7,0.5333333333333333
2024,ATL,17,16,8,8,0.5
2024,ATL,18,17,8,9,0.47058823529411764
2024,BAL,1,1,0,1,0.0
2024,BAL,2,2,0,2,0.0
2024,BAL,3,3,1,2,0.3333333333333333
2024,BAL,4,4,2,2,0.5
2024,BAL,5,5,3,2,0.6
2024,BAL,6,6,4,2,0.6666666666666666
2024,BAL,7,7,5,2,0.7142857142857143
2024,BAL,8,8,5,3,0.625
2024,BAL,9,9,6,3,0.6666666666666666
2024,BAL,10,10,7,3,0.7
2024,BAL,11,11,7,4,0.6363636363636364
2024,BAL,12,12,8,4,0.6666666666666666
2024,BAL,13,13,8,5,0.6153846153846154
2024,BAL,15,14,9,5,0.6428571428571429
2024,BAL,16,15,10,5,0.6666666666666666
2024,BAL,17,16,11,5,0.6875
2024,BAL,18,17,12,5,0.7058823529411765
2024,BAL,19,18,13,5,0.7222222222222222
2024,BAL,20,19,13,6,0.6842105263157895
2024,BUF,1,1,1,0,1.0
2024,BUF,2,2,2,0,1.0
2024,BUF,3,3,3,0,1.0
2024,BUF,4,4,3,1,0.75
2024,BUF,5,5,3,2,0.6
2024,BUF,6,6,4,2,0.6666666666666666
2024,BUF,7,7,5,2,0.7142857142857143
